billtype_x,billno,itcode,itunit,itqty,itrte,itamnt,refno,billtype_y,billdate,ccode,clsup,slpucd,tramnt,refno_y,refdt,duedate,name,ortyp,ordte,OrderToPurchaseDays
PURC,200543,GISLIT53940024 ,LBS  ,5298.0,0.4825,2556.285,200270,PURC,2020-09-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,19781.053,112336                   ,2020-09-15,2020-10-30,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-06-12,110.0
PURC,200544,PKGBOX00281836 ,NOS  ,1200.0,2.01,2412.0,200381,PURC,2020-09-25,RESIDENTIAL,CR00280,Purchase Dusting - Residential                              ,2412.0,INV3839                  ,2020-09-25,2020-10-25,CR PERFORMANCE PACKAGING                                    ,P,2020-08-27,29.0
PURC,200546,GICOIL00000028 ,LBS  ,9436.0,0.5045,4760.462,200058,PURC,2020-09-28,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,9743.409,028392                   ,2020-09-28,2020-11-27,CR Sumit Global                                             ,P,2020-01-29,243.0
PURC,200546,GICOIL00000028 ,LBS  ,9877.0,0.5045,4982.947,200058,PURC,2020-09-28,RESIDENTIAL,CR00270,Purchase Dusting - Residential                              ,9743.409,028392                   ,2020-09-28,2020-11-27,CR Sumit Global                                             ,P,2020-01-29,243.0
PURC,200593,FLEXDUCTR60008 ,NOS  ,11.0,26.45,290.95,200467,PURC,2020-11-23,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,628.99,3643897                  ,2020-11-23,2020-12-22,"CR Solar Supply, Inc                                        ",P,2020-11-23,0.0
PURC,200593,FLEXDUCTR60014 ,NOS  ,5.0,49.88,249.4,200467,PURC,2020-11-23,COMMERCIAL,CR00136,Purchase Duct - Commercial                                  ,628.99,3643897                  ,2020-11-23,2020-12-22,"CR Solar Supply, Inc                                        ",P,2020-11-23,0.0
PURC,200594,DUCTSEALER1GAL ,GAL  ,6.0,9.12,54.72,200473,PURC,2020-11-30,COMMERCIAL,CR00272,Purchase Duct - Commercial                                  ,54.72,08204101                 ,2020-11-30,2021-01-29,CR Win Supply Of Houston                                    ,P,2020-11-25,5.0
PURC,200595,CADSFIBEREINSEA,NOS  ,180.0,7.89,1420.2,200471,PURC,2020-11-24,COMMERCIAL,CR00050,Purchase Duct - Commercial                                  ,2680.2,5633992                  ,2020-11-24,2020-12-23,CR Coastal HVAC Supply ( Vendor )                           ,P,2020-11-24,0.0
PURC,200595,DUCTSEALER1GAL ,BOX  ,45.0,28.0,1260.0,200471,PURC,2020-11-24,COMMERCIAL,CR00050,Purchase Duct - Commercial                                  ,2680.2,5633992                  ,2020-11-24,2020-12-23,CR Coastal HVAC Supply ( Vendor )                           ,P,2020-11-24,0.0
PURC,200596,STRETCHFILM001 ,BOX  ,10.0,33.48,334.8,200469,PURC,2020-11-23,COMMERCIAL,CR00134,Purchase Duct - Commercial                                  ,334.8,0179887                  ,2020-11-23,2020-12-23,CR Seven Star Packaging                                     ,P,2020-11-23,0.0
PURC,200597,GALVOFFCHAMP12 ,BOX  ,2.0,85.0,170.0,200486,PURC,2020-12-15,COMMERCIAL,CR00223,Purchase Duct - Commercial                                  ,170.0,138620                   ,2020-12-07,2020-12-07,CR Production Products INC                                  ,P,2020-12-05,10.0
PURC,200584,PGSLITCOIL022GA,LBS  ,3554.0,0.545,1936.93,200426,PURC,2020-10-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,11848.16,112479                   ,2020-10-30,2020-12-14,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-10-15,15.0
PURC,200584,PGSLITCOIL024GA,LBS  ,4770.0,0.565,2695.05,200426,PURC,2020-10-30,COMMERCIAL,CR00343,Purchase Duct - Commercial                                  ,11848.16,112479                   ,2020-10-30,2020-12-14,CR COMMERCIAL STEEL PRODUCT                                 ,P,2020-10-15,15.0
